Rascal,1,10,true,98.07489387065228,88.55931089783844,96.01725892920065,88.6322932808185,
Indigo,1,5,true,96.50130972358502,93.30157677165735,93.0720991391216,99.75773328454184,
Jetta,1,7,true,99.67729705909518,88.66241861858441,88.83128078656412,99.10099445560259,
Kit,2,10,true,94.46016075831,94.75165378081334,95.14830441887956,87.61880014270763,
Papoose,1,3,true,92.2499737913447,87.9589325888551,90.11922247252217,88.93353471838628,
Jed,1,9,true,99.7269160288119,95.18221793018661,88.76944133579491,95.57277554157986,
Blossom,2,3,true,84.13776054182853,92.16777989552621,95.02682943777832,97.69789829221004,
Eleazar,2,4,true,90.78408114111805,97.66190455965432,86.77276534265066,93.42031810207324,
Chip,1,8,true,88.72424936110053,95.55961065902504,91.88633953167266,100.95192993037392,
Dino,1,10,true,88.23193818774699,93.31790734454533,100.75237290951675,89.70832402168334,
Annie,1,6,true,90.10798824477646,96.05811424746383,86.7370074799297,85.20031234579116,
Ivery,1,3,true,87.73808964099864,85.43563287612054,98.48673936160289,91.24377039591408,
Ansel,1,7,true,87.43853762627904,100.87491506891385,86.98231571486633,86.77928341052558,
Hopscotch,1,3,true,80.72933451686447,87.12994782189249,95.52562668082274,95.80141302248785,
Holiday,1,7,true,85.58619328645551,95.35677672429108,97.58496869569034,88.61822257404327,
Loredo,5,9,true,92.33332122555262,77.41842040430762,84.53580381486823,76.61218783274948,
Sampson,2,5,true,82.07866510920172,86.36855165880475,95.70364767201946,95.35742227736584,
Lexy,2,8,true,83.1242447204645,94.11371938223232,88.19194012157226,98.59973249258034,
Rumor,7,10,true,87.49735181853944,99.01570153213177,65.71921604160292,91.54532458506108,
Tilley,0,9,true,91.82816413074974,87.99544981483886,89.76161930678357,94.75338688736069,
